,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI,Significant?
195,Italy,4,80+,4528000,99272,1691000,47606,1643394,2837000,51666,2785334,1.55,1.53,1.57,*
196,Jamaica,1,0-19,931000,17,474000,6,473994,457000,11,456989,0.53,0.19,1.42,ns
197,Jamaica,2,20-49,1316000,351,651000,151,650849,665000,200,664800,0.77,0.62,0.95,ns
198,Jamaica,3,50-79,653000,1684,315000,927,314073,338000,757,337243,1.31,1.19,1.45,*
199,Jamaica,4,80+,59000,793,28000,380,27620,31000,413,30587,1.02,0.89,1.17,ns
200,Japan,1,0-19,21447000,0,11011000,0,11011000,10436000,0,10436000,,,,ns
201,Japan,2,20-49,45076000,540,23017000,424,23016576,22059000,116,22058884,3.50,2.85,4.30,*
202,Japan,3,50-79,48601000,9744,23631000,7116,23623884,24970000,2628,24967372,2.86,2.74,2.99,*
203,Japan,4,80+,11352000,19038,4094000,9511,4084489,7258000,9527,7248473,1.77,1.72,1.82,*
204,Jersey,1,0-19,0,0,0,0,0,0,0,0,,,,ns
205,Jersey,2,20-49,0,0,0,0,0,0,0,0,,,,ns
206,Jersey,3,50-79,0,23,0,17,-17,0,6,-6,,N/A,N/A,*
207,Jersey,4,80+,0,33,0,23,-23,0,10,-10,,N/A,N/A,*
208,Jordan,1,0-19,5333000,102,2707000,56,2706944,2626000,46,2625954,1.18,0.80,1.74,ns
209,Jordan,2,20-49,2960000,713,1502000,350,1501650,1458000,363,1457637,0.94,0.81,1.08,ns
210,Jordan,3,50-79,878000,5552,432000,3360,428640,446000,2192,443808,1.58,1.50,1.67,*
211,Jordan,4,80+,20000,1095,8000,601,7399,12000,494,11506,1.82,1.63,2.05,*
212,Kenya,1,0-19,26760000,185,13483000,116,13482884,13277000,69,13276931,1.66,1.23,2.23,*
213,Kenya,2,20-49,21967000,2618,10901000,1689,10899311,11066000,929,11065071,1.85,1.70,2.00,*
214,Kenya,3,50-79,0,0,0,0,0,0,0,0,,,,ns
215,Kenya,4,80+,0,0,0,0,0,0,0,0,,,,ns
216,Kosovo,1,0-19,587000,6,306000,4,305996,281000,2,280998,1.84,0.34,10.03,ns
217,Kosovo,2,20-49,754000,123,366000,69,365931,388000,54,387946,1.35,0.95,1.93,ns
218,Kosovo,3,50-79,389000,1981,184000,1217,182783,205000,764,204236,1.77,1.62,1.94,*
219,Kosovo,4,80+,32000,585,13000,324,12676,19000,261,18739,1.81,1.54,2.13,*
220,Kyrgyzstan,1,0-19,2629000,5,1345000,2,1344998,1284000,3,1283997,0.64,0.11,3.81,ns
221,Kyrgyzstan,2,20-49,2784000,103,1394000,62,1393938,1390000,41,1389959,1.51,1.02,2.24,*
222,Kyrgyzstan,3,50-79,1056000,773,473000,423,472577,583000,350,582650,1.49,1.29,1.72,*
223,Kyrgyzstan,4,80+,54000,185,14000,88,13912,40000,97,39903,2.59,1.94,3.46,*
224,Latvia,1,0-19,398000,2,205000,1,204999,193000,1,192999,0.94,0.06,15.05,ns
225,Latvia,2,20-49,704000,202,355000,141,354859,349000,61,348939,2.27,1.68,3.07,*
226,Latvia,3,50-79,677000,2789,283000,1501,281499,394000,1288,392712,1.62,1.51,1.75,*
227,Latvia,4,80+,107000,2448,27000,893,26107,80000,1555,78445,1.70,1.57,1.85,*
228,Liechtenstein,1,0-19,0,0,0,0,0,0,0,0,,,,ns
229,Liechtenstein,2,20-49,0,1,0,0,0,0,1,-1,,,,ns
230,Liechtenstein,3,50-79,0,37,0,28,-28,0,9,-9,,N/A,N/A,*
231,Liechtenstein,4,80+,0,48,0,21,-21,0,27,-27,,N/A,N/A,*
232,Lithuania,1,0-19,543000,6,280000,2,279998,263000,4,262996,0.47,0.09,2.56,ns
233,Lithuania,2,20-49,1010000,318,513000,201,512799,497000,117,496883,1.66,1.33,2.09,*
234,Lithuania,3,50-79,997000,4591,419000,2590,416410,578000,2001,575999,1.79,1.68,1.89,*
235,Lithuania,4,80+,172000,4671,48000,1727,46273,124000,2944,121056,1.52,1.43,1.61,*
236,Luxembourg,1,0-19,133000,0,68000,0,68000,65000,0,65000,,,,ns
237,Luxembourg,2,20-49,278000,16,143000,11,142989,135000,5,134995,2.08,0.72,5.98,ns
238,Luxembourg,3,50-79,191000,336,97000,234,96766,94000,102,93898,2.22,1.76,2.80,*
239,Luxembourg,4,80+,25000,704,10000,335,9665,15000,369,14631,1.36,1.18,1.58,*
240,Malaysia,1,0-19,10259000,204,5282000,111,5281889,4977000,93,4976907,1.12,0.85,1.48,ns
241,Malaysia,2,20-49,15412000,7640,7996000,4363,7991637,7416000,3277,7412723,1.23,1.18,1.29,*
242,Malaysia,3,50-79,6322000,21269,3169000,12565,3156435,3153000,8704,3144296,1.44,1.40,1.48,*
243,Malaysia,4,80+,373000,5507,183000,2662,180338,190000,2845,187155,0.97,0.92,1.02,ns
244,Maldives,1,0-19,140000,10,73000,6,72994,67000,4,66996,1.38,0.39,4.88,ns
245,Maldives,2,20-49,339000,41,239000,15,238985,100000,26,99974,0.24,0.13,0.46,ns
246,Maldives,3,50-79,50000,60,25000,23,24977,25000,37,24963,0.62,0.37,1.05,ns
247,Maldives,4,80+,12000,51,6000,19,5981,6000,32,5968,0.59,0.34,1.05,ns
248,Malta,1,0-19,85000,4,44000,1,43999,41000,3,40997,0.31,0.03,2.99,ns
249,Malta,2,20-49,180000,14,94000,9,93991,86000,5,85995,1.65,0.55,4.91,ns
250,Malta,3,50-79,156000,269,77000,184,76816,79000,85,78915,2.22,1.72,2.87,*
251,Malta,4,80+,21000,306,8000,152,7848,13000,154,12846,1.60,1.28,2.00,*
252,Mexico,1,0-19,33310000,1261,16993000,597,16992403,16317000,664,16316336,0.86,0.77,0.96,ns
253,Mexico,2,20-49,57163000,55669,27794000,36754,27757246,29369000,18915,29350085,2.05,2.02,2.09,*
254,Mexico,3,50-79,25211000,223695,11704000,136293,11567707,13507000,87402,13419598,1.80,1.78,1.81,*
255,Mexico,4,80+,2038000,44260,848000,26144,821856,1190000,18116,1171884,2.03,1.99,2.06,*
256,Moldova,1,0-19,0,0,0,0,0,0,0,0,,,,ns
257,Moldova,2,20-49,1908000,580,960000,303,959697,948000,277,947723,1.08,0.92,1.27,ns
258,Moldova,3,50-79,1194000,8749,514000,4220,509780,680000,4529,675471,1.23,1.18,1.29,*
259,Moldova,4,80+,88000,2193,24000,917,23083,64000,1276,62724,1.92,1.76,2.08,*
260,Mongolia,1,0-19,1236000,14,625000,5,624995,611000,9,610991,0.54,0.18,1.62,ns
261,Mongolia,2,20-49,1487000,220,742000,96,741904,745000,124,744876,0.78,0.60,1.01,ns
262,Mongolia,3,50-79,533000,1426,240000,679,239321,293000,747,292253,1.11,1.00,1.23,*
263,Mongolia,4,80+,21000,514,7000,216,6784,14000,298,13702,1.45,1.22,1.72,*
264,Montenegro,1,0-19,154000,5,80000,1,79999,74000,4,73996,0.23,0.03,2.07,ns
265,Montenegro,2,20-49,256000,107,129000,75,128925,127000,32,126968,2.31,1.53,3.49,*
266,Montenegro,3,50-79,199000,1604,94000,1079,92921,105000,525,104475,2.30,2.07,2.55,*
267,Montenegro,4,80+,21000,748,8000,377,7623,13000,371,12629,1.65,1.43,1.90,*
268,Myanmar,1,0-19,9994000,4,5010000,3,5009997,4984000,1,4983999,2.98,0.31,28.69,ns
