country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Barbados,7/12/2021,40-44,40,44,0,0,10,10000,9,9000,19000,0,52.63,47.37,0,0,,0,1,0,0,0
Barbados,7/12/2021,45-49,45,49,1,0,11,11000,10,10000,21000,1,52.38,47.62,100,0,,0,1,0,0,0
Barbados,7/12/2021,50-54,50,54,2,2,10,10000,9,9000,19000,4,52.63,47.37,50,50,,0,0,1,0,0
Barbados,7/12/2021,55-59,55,59,1,1,11,11000,9,9000,20000,2,55,45,50,50,,0,0,1,0,0
Barbados,7/12/2021,60-64,60,64,4,2,10,10000,9,9000,19000,6,52.63,47.37,66.67,33.33,,0,0,1,0,0
Barbados,7/12/2021,65-69,65,69,3,0,8,8000,7,7000,15000,3,53.33,46.67,100,0,,0,0,1,0,0
Barbados,7/12/2021,70-74,70,74,2,5,6,6000,5,5000,11000,7,54.55,45.45,28.57,71.43,,0,0,1,0,0
Barbados,7/12/2021,75-79,75,79,4,5,5,5000,4,4000,9000,9,55.56,44.44,44.44,55.56,,0,0,1,0,0
Barbados,7/12/2021,80,80,999,10,6,8,8000,5,5000,13000,16,61.54,38.46,62.5,37.5,,0,0,0,1,0
Barbados,,,,,27,21,149,149000,139,139000,273000,48,54.58,50.92,56.25,43.75,,0,0,0,0,1
Belgium,5/12/2022,0-24,0,24,9,7,1588,1588000,1684,1684000,3272000,16,48.53,51.47,56.25,43.75,,1,0,0,0,0
Belgium,5/12/2022,25-44,25,44,78,115,1476,1476000,1508,1508000,2984000,193,49.46,50.54,40.41,59.59,,0,1,0,0,0
Belgium,5/12/2022,45-64,45,64,796,1540,1532,1532000,1569,1569000,3101000,2336,49.4,50.6,34.08,65.92,,0,0,0,0,0
Belgium,5/12/2022,65-74,65,74,1596,2988,623,623000,567,567000,1190000,4584,52.35,47.65,34.82,65.18,,0,0,1,0,0
Belgium,5/12/2022,75-84,75,84,4014,5359,401,401000,304,304000,705000,9373,56.88,43.12,42.83,57.17,,0,0,0,0,0
Belgium,5/12/2022,85+,85,999,8613,6419,225,225000,113,113000,338000,15032,66.57,33.43,57.3,42.7,,0,0,0,1,0
Belgium,,,,,15106,16428,5845,5845000,5745,5745000,11590000,31534,50.43,49.57,47.9,52.1,,0,0,0,0,1
Bosnia and Herzegovina,6/13/2022,0-10,0,10,0,0,161,161000,170,170000,331000,0,48.64,51.36,0,0,,1,0,0,0,0
Bosnia and Herzegovina,6/13/2022,20-Nov,11,20,4,2,171,171000,179,179000,350000,6,48.86,51.14,66.67,33.33,,1,0,0,0,0
Bosnia and Herzegovina,6/13/2022,21-30,21,30,17,14,196,196000,208,208000,404000,31,48.51,51.49,54.84,45.16,,0,1,0,0,0
Bosnia and Herzegovina,6/13/2022,31-40,31,40,29,49,228,228000,237,237000,465000,78,49.03,50.97,37.18,62.82,,0,1,0,0,0
Bosnia and Herzegovina,6/13/2022,41-50,41,50,64,144,221,221000,226,226000,447000,208,49.44,50.56,30.77,69.23,,0,0,0,0,0
Bosnia and Herzegovina,6/13/2022,51-60,51,60,279,521,261,261000,245,245000,506000,800,51.58,48.42,34.88,65.13,,0,0,1,0,0
Bosnia and Herzegovina,6/13/2022,61-70,61,70,828,1378,237,237000,211,211000,448000,2206,52.9,47.1,37.53,62.47,,0,0,1,0,0
Bosnia and Herzegovina,6/13/2022,71-80,71,80,1324,1671,133,133000,93,93000,226000,2995,58.85,41.15,44.21,55.79,,0,0,0,0,0
Bosnia and Herzegovina,6/13/2022,81+,81,999,1130,1297,66,66000,39,39000,105000,2427,62.86,37.14,46.56,53.44,,0,0,0,1,0
Bosnia and Herzegovina,,,,,3675,5076,1674,1674000,1608,1608000,3282000,8751,51.01,48.99,42,58,,0,0,0,0,1
Brazil,7/26/2021,0-4,0,4,377,422,7070,7070000,7405,7405000,14475000,799,48.84,51.16,47.18,52.82,,1,0,0,0,0
