,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
65,Indonesia,2,30+,135691000,6859,67129000,3527.0,67125473.0,68562000,3332.0,68558668.0,1.0811196650150772,1.0311216588580496,1.133542021973199
66,Iraq,1,0-30,26485000,271,13585000,148.0,13584852.0,12900000,123.0,12899877.0,1.1425801412964443,0.8995572369428779,1.4512577139856875
67,Iraq,2,30+,13735000,7725,6772000,4916.0,6767084.0,6963000,2809.0,6960191.0,1.7994491589665065,1.7179552785906895,1.8848088282958961
68,Israel,1,0-30,4274000,73,2192000,38.0,2191962.0,2082000,35.0,2081965.0,1.0312304483837331,0.6515295021593526,1.6322150173540684
69,Israel,2,30+,4383000,10803,2117000,5989.0,2111011.0,2266000,4814.0,2261186.0,1.3316413570166845,1.2821245481958687,1.3830705497468854
70,Italy,1,0-30,16833000,179,8679000,106.0,8678894.0,8154000,73.0,8153927.0,1.364218780334203,1.012557376538831,1.8380122684782678
71,Italy,2,30+,43629000,164720,20758000,92108.0,20665892.0,22871000,72612.0,22798388.0,1.3976183677566945,1.3841148577928668,1.4112536187970062
72,Jamaica,1,0-30,1446000,52,736000,18.0,735982.0,710000,34.0,709966.0,0.5107097186700768,0.2884400428119595,0.9042586951566437
73,Jamaica,2,30+,1513000,2793,732000,1446.0,730554.0,781000,1347.0,779653.0,1.1453564082904328,1.063498487121063,1.2335149677205206
74,Japan,2,30+,92882000,29292,44515000,17021.0,44497979.0,48367000,12271.0,48354729.0,1.5071201928026376,1.4725462092499737,1.5425059405846284
75,Kosovo,1,0-30,879000,16,451000,5.0,450995.0,428000,11.0,427989.0,0.43136464422495463,0.14987725579285577,1.2415189703265928
76,Kosovo,2,30+,883000,2679,418000,1609.0,416391.0,465000,1070.0,463930.0,1.6728189420024147,1.54853074724468,1.8070827574468051
77,Kyrgyzstan,1,0-30,3712000,9,1896000,2.0,1895998.0,1816000,7.0,1815993.0,0.2736588306208559,0.05684836171521531,1.3173494066888902
78,Kyrgyzstan,2,30+,2811000,1057,1330000,573.0,1329427.0,1481000,484.0,1480516.0,1.3182952215248867,1.168078129199115,1.4878305206235916
79,Latvia,1,0-30,585000,8,302000,3.0,301997.0,283000,5.0,282995.0,0.562251655629139,0.13436730119116064,2.3527072543338714
80,Latvia,2,30+,1301000,5433,568000,2533.0,565467.0,733000,2900.0,730100.0,1.1271788489558037,1.0687894966692657,1.1887580870627639
81,Lithuania,1,0-30,859000,20,444000,6.0,443994.0,415000,14.0,414986.0,0.40057915057915056,0.1539362672767257,1.0424031887836673
82,Lithuania,2,30+,1863000,9566,816000,4514.0,811486.0,1047000,5052.0,1041948.0,1.146448989334451,1.1014537510649862,1.1932823179140792
83,Luxembourg,1,0-30,219000,3,113000,1.0,112999.0,106000,2.0,105998.0,0.4690265486725663,0.042528483685216015,5.17267215516014
84,Luxembourg,2,30+,408000,1053,205000,579.0,204421.0,203000,474.0,202526.0,1.2096017289286816,1.0714789673355891,1.3655296904852812
85,Malaysia,1,0-30,16029000,935,8249000,527.0,8248473.0,7780000,408.0,7779592.0,1.218228472138037,1.0705287151994105,1.3863062141694462
86,Malaysia,2,30+,16337000,33685,8381000,19174.0,8361826.0,7956000,14511.0,7941489.0,1.2543372356677587,1.2276026240248124,1.2816540711066724
87,Malta,1,0-30,140000,4,73000,1.0,72999.0,67000,3.0,66997.0,0.3059360730593607,0.03182293979103629,2.9411764410699215
88,Malta,2,30+,302000,589,150000,345.0,149655.0,152000,244.0,151756.0,1.4327868852459016,1.2163170626123498,1.6877821759102638
